Trading Volume 7 Day Average Prior to Call Date,Gross Margin ,Revenue (E8),Stock Price on Release Date ,Stock Price on Call Date,Stock Price Delta Between Dates,EPS Basic & Diluted,Revenue Delta,Gross Margin Delta,Trading Volume Delta,Beta Value at Call Date,"Rating Score (avg. - ROE, DCF, ROA)",Market Cap,Common Shares Outstanding at Call Date,Polarity Mean,Postive/Negative + Neutral,Strong Polarity Count (>=0.8),Subjectivity ,Weak Polarity Count (>=-0.2)
27024364.00,0.28,9.40,38.08,47.36,0.24,-1.22,-0.02,0.02,0.00,0.63,3.00,730892000000.00,15432687922.00,0.10,0.78,0.00,0.48,2.00
936391.00,0.18,5.18,49.33,50.84,0.03,0.56,0.04,0.01,0.00,0.47,3.00,2557555000.00,50305959.87,0.11,0.95,2.00,0.32,0.00
11662000.00,0.20,676.18,85.01,87.37,0.03,1.17,1.53,-0.01,0.00,0.85,3.00,357935000000.00,4096772347.00,0.08,0.76,0.00,0.40,2.00
2271080.00,0.39,6.31,33.45,31.37,-0.06,0.40,0.26,0.00,0.00,1.15,4.00,3371760000.00,107483583.00,0.12,1.33,2.00,0.40,0.00
23215626.00,0.27,9.55,53.69,49.22,-0.08,-1.46,0.02,-0.05,-0.14,0.86,2.67,664645000000.00,13503565421.00,0.12,0.80,1.00,0.45,3.00
1008881.00,0.19,5.29,54.52,52.84,-0.03,0.69,0.02,0.02,0.08,0.71,3.00,2840944000.00,53765026.50,0.06,0.57,1.00,0.33,4.00
14250000.00,0.20,741.13,83.17,79.21,-0.05,1.00,0.10,0.00,0.22,0.85,3.00,349440000000.00,4411564196.00,0.07,0.56,0.00,0.40,2.00
2845774.00,0.39,-15.00,28.46,28.90,0.02,-0.68,-3.38,-0.01,0.25,1.14,3.33,2893568000.00,100123460.20,0.12,1.06,0.00,0.38,1.00
26550016.00,0.25,9.37,49.68,46.33,-0.07,-1.79,-0.02,-0.04,0.14,0.75,2.67,693326000000.00,14966239261.00,0.14,0.91,1.00,0.43,1.00
1311336.00,0.20,5.27,53.96,49.60,-0.08,0.51,0.00,0.05,0.30,0.38,3.00,2509760000.00,50600000.00,0.08,0.63,0.00,0.36,1.00
12473000.00,0.20,673.44,74.26,82.74,0.11,1.01,-0.09,0.00,-0.12,0.92,4.00,311527000000.00,3765125695.00,0.07,0.45,0.00,0.39,3.00
4654890.00,0.39,6.79,21.63,19.65,-0.09,0.45,1.45,0.00,0.64,0.86,3.33,2192132000.00,111558880.40,0.11,0.81,2.00,0.40,2.00
45735416.00,0.23,10.21,48.00,30.94,-0.36,-2.46,0.09,-0.11,0.72,1.25,3.00,519192000000.00,16780597931.00,0.11,0.76,0.00,0.41,5.00
1093110.00,0.20,5.27,46.10,49.84,0.08,0.54,0.00,0.00,-0.17,0.43,3.00,2465064000.00,49459550.56,0.10,0.93,0.00,0.39,1.00
18106000.00,0.21,598.07,77.94,74.59,-0.04,0.67,-0.11,0.07,0.45,0.86,3.00,325909000000.00,4369338383.00,0.05,0.43,0.00,0.41,8.00
1114577.00,0.39,13.81,16.70,17.50,0.05,-0.31,1.03,0.00,-0.76,0.81,3.33,1610844000.00,92048228.57,0.10,0.77,0.00,0.42,3.00
27894636.00,0.22,11.47,45.94,42.30,-0.08,-2.13,0.12,-0.06,-0.39,1.35,3.00,516643000000.00,12213778723.00,0.09,0.58,1.00,0.46,1.00
1356159.00,0.20,5.54,53.04,51.20,-0.03,0.68,0.05,0.00,0.24,0.47,3.00,2560000000.00,50000000.00,0.12,1.10,0.00,0.39,2.00
9565000.00,0.21,487.07,83.61,88.40,0.06,0.43,-0.19,-0.01,-0.47,0.84,3.00,349239000000.00,3950667647.00,0.08,0.72,0.00,0.42,1.00
1788102.00,0.39,5.78,18.42,19.10,0.04,0.18,-0.58,-0.01,0.60,0.73,3.33,1772004000.00,92775078.53,0.13,1.28,0.00,0.42,1.00
17326943.00,0.21,12.70,42.45,46.12,0.09,-2.09,0.11,-0.01,-0.38,1.28,3.33,579427000000.00,12563454250.00,0.04,0.44,0.00,0.37,4.00
765675.00,0.20,5.59,48.15,52.19,0.08,0.78,0.01,0.00,-0.44,0.47,3.00,2588624000.00,49600000.00,0.14,1.26,0.00,0.41,2.00
11037000.00,0.21,-100.47,93.74,88.95,-0.05,-3.01,-1.21,-0.02,0.15,0.79,3.00,391646000000.00,4402987296.00,0.05,0.48,1.00,0.42,1.00
2808560.00,0.39,5.84,20.33,24.33,0.20,0.24,0.01,0.00,0.57,0.78,3.33,1952752000.00,80261076.86,0.11,0.85,0.00,0.39,3.00
27557034.00,0.23,22.98,40.80,40.80,0.00,-2.07,0.45,0.09,0.59,1.32,3.33,617391000000.00,15132123529.00,0.12,0.75,1.00,0.46,7.00
1165469.00,0.20,6.95,50.06,52.00,0.04,1.15,0.20,0.01,0.52,0.15,3.00,2558400000.00,49200000.00,0.08,0.49,1.00,0.37,2.00
16913500.00,0.20,586.77,87.29,87.28,0.00,0.63,1.17,-0.02,0.53,0.86,3.00,364656000000.00,4178000000.00,0.07,0.60,0.00,0.42,5.00
3289588.00,0.38,5.04,23.02,21.26,-0.08,0.27,-0.16,0.00,0.17,0.68,3.67,2231607000.00,104967403.60,0.12,0.96,1.00,0.41,6.00
39045096.00,0.23,22.85,42.73,51.19,0.20,-2.07,-0.01,-0.02,0.42,1.27,3.33,718421000000.00,14034398515.00,0.11,0.72,0.00,0.51,4.00
1076291.00,0.20,4.68,59.61,61.18,0.03,2.83,-0.33,0.00,-0.08,0.21,3.00,3010056000.00,49200000.00,0.08,0.55,0.00,0.37,3.00
13111000.00,0.21,1086.63,90.27,83.89,-0.07,-2.19,0.85,0.05,-0.22,0.88,4.00,376745000000.00,4490943378.00,0.08,0.61,0.00,0.40,12.00
1254892.00,0.38,8.30,21.95,25.25,0.15,0.21,0.65,0.00,-0.62,0.71,3.67,2072080000.00,82062574.26,0.13,0.98,3.00,0.44,6.00
34138672.00,0.24,26.96,55.66,59.02,0.06,-2.04,0.18,0.03,-0.13,1.07,3.33,771041000000.00,13064060657.00,0.12,0.92,0.00,0.05,4.00
1414567.00,0.20,5.63,63.36,62.59,-0.01,0.71,0.20,-0.01,0.31,0.29,3.00,3079428000.00,49200000.00,0.11,0.99,1.00,0.42,6.00
10323000.00,0.22,632.87,82.01,81.65,0.00,0.95,0.42,0.04,-0.21,0.89,3.00,346328000000.00,4241619473.00,0.08,0.70,1.00,0.39,4.00
3561761.00,0.39,5.91,24.97,26.04,0.04,0.17,-0.29,0.00,1.84,0.88,3.33,2397120000.00,92055299.54,0.13,0.96,0.00,0.43,4.00
43030254.00,0.24,27.90,72.32,69.41,-0.04,-2.03,0.03,0.01,0.26,1.06,3.00,814098000000.00,11728825962.00,0.10,0.70,2.00,0.50,11.00
1927249.00,0.19,5.70,50.30,44.19,-0.12,0.78,0.01,-0.01,0.36,0.34,3.00,2165310000.00,49000000.00,0.08,0.64,0.00,0.38,4.00
10618000.00,0.23,628.76,80.72,79.60,-0.01,0.78,-0.01,0.04,0.03,0.81,3.00,344798000000.00,4331631030.00,0.07,0.53,1.00,0.41,10.00
1672175.00,0.38,-15.02,27.77,27.06,-0.03,-0.83,-3.54,-0.01,-0.53,0.94,3.33,2694562000.00,99577309.68,0.11,0.87,1.00,0.38,4.00
41766799.00,0.21,29.85,68.20,59.85,-0.12,-2.03,0.07,-0.14,-0.03,0.95,3.00,871482000000.00,14561106767.00,0.10,0.62,0.00,0.49,6.00
2137991.00,0.19,6.03,42.13,42.18,0.00,1.34,0.06,-0.03,0.11,0.33,3.00,2121287000.00,50291299.19,0.12,0.65,1.00,0.41,3.00
9535000.00,0.24,661.65,81.98,83.71,0.02,0.93,0.05,0.05,-0.10,0.84,3.00,350137000000.00,4182733007.00,0.10,0.75,0.00,0.43,9.00
2303278.00,0.39,5.81,28.86,28.02,-0.03,0.24,1.39,0.02,0.38,0.96,3.67,2763830000.00,98637758.74,0.15,1.08,4.00,0.44,7.00
29021621.00,0.19,32.88,62.27,63.04,0.01,-2.03,0.10,-0.08,-0.31,1.01,4.00,800264000000.00,12694538388.00,0.11,0.74,2.00,0.46,7.00
1522179.00,0.18,5.71,48.18,47.93,-0.01,3.27,-0.05,-0.03,-0.29,0.37,3.00,2166434000.00,45199958.27,0.12,0.80,1.00,0.38,1.00
13404000.00,0.22,840.00,83.83,84.53,0.01,0.09,0.27,-0.10,0.41,0.83,3.00,356976000000.00,4223063055.00,0.11,0.68,0.00,0.42,13.00
1760934.00,0.39,-1.45,31.89,29.51,-0.07,-0.09,-1.25,0.00,-0.24,1.00,3.67,2920208000.00,98956557.10,0.10,0.90,2.00,0.41,9.00